"Midland city, Texas",142173
"Rockford city, Illinois",146307
"Paterson city, New Jersey",145594
"Savannah city, Georgia",145817
"Bridgeport city, Connecticut",144772
"Torrance city, California",144706
"McAllen city, Texas",142530
"Syracuse city, New York",142745
"Surprise city, Arizona",137717
"Denton city, Texas",138315
"Roseville city, California",138953
"Thornton city, Colorado",139352
"Miramar city, Florida",140564
"Pasadena city, California",140906
"Mesquite city, Texas",142520
"Olathe city, Kansas",139758
"Dayton city, Ohio",140439
"Carrollton city, Texas",137013
"Waco city, Texas",137886
"Orange city, California",139449
"Fullerton city, California",139273
"Charleston city, South Carolina",136111
"West Valley City city, Utah",135982
"Visalia city, California",133428
"Hampton city, Virginia",134330
"Gainesville city, Florida",133665
"Warren city, Michigan",134376
"Coral Springs city, Florida",133712
"Cedar Rapids city, Iowa",133209
"Round Rock city, Texas",128849
"Sterling Heights city, Michigan",132725
"Kent city, Washington",131734
"Columbia city, South Carolina",132770
"Santa Clara city, California",129085
"New Haven city, Connecticut",129993
"Stamford city, Connecticut",129806
"Concord city, California",129743
"Elizabeth city, New Jersey",128599
"Athens-Clarke County unified government (balance), Georgia",125857
"Thousand Oaks city, California",127279
"Lafayette city, Louisiana",126371
"Simi Valley city, California",125438
"Topeka city, Kansas",125778
"Norman city, Oklahoma",123844
"Fargo city, North Dakota",124091
"Wilmington city, North Carolina",122616
"Abilene city, Texas",122775
"Odessa city, Texas",120037
"Columbia city, Missouri",122533
"Pearland city, Texas",121424
"Victorville city, California",121952
"Hartford city, Connecticut",122556
"Vallejo city, California",121677
"Allentown city, Pennsylvania",121537
"Berkeley city, California",121663
"Richardson city, Texas",119878
"Arvada city, Colorado",120421
"Ann Arbor city, Michigan",121429
"Rochester city, Minnesota",117047
"Cambridge city, Massachusetts",118151
"Sugar Land city, Texas",118777
"Lansing city, Michigan",117931
"Evansville city, Indiana",118060
"College Station city, Texas",116035
"Fairfield city, California",116678
"Clearwater city, Florida",116324
"Beaumont city, Texas",117667
"Independence city, Missouri",117017
"Provo city, Utah",116630
"West Jordan city, Utah",115610
"Murrieta city, California",114715
"Palm Bay city, Florida",113854
"El Monte city, California",115308
"Carlsbad city, California",115518
"North Charleston city, South Carolina",113077
"Temecula city, California",114614
"Clovis city, California",111824
"Springfield city, Illinois",114840
"Meridian city, Idaho",106464
"Westminster city, Colorado",113227
"Costa Mesa city, California",113302
"High Point city, North Carolina",112073
"Manchester city, New Hampshire",112492
"Pueblo city, Colorado",111725
"Lakeland city, Florida",110421
"Pompano Beach city, Florida",111636
"West Palm Beach city, Florida",111058
"Antioch city, California",111578
"Everett city, Washington",111088
"Downey city, California",111915
"Lowell city, Massachusetts",111362
"Centennial city, Colorado",110814
"Elgin city, Illinois",111490
"Richmond city, California",110189
"Peoria city, Illinois",111449
"Broken Arrow city, Oklahoma",109068
"Miami Gardens city, Florida",111144
"Billings city, Montana",109444
"Jurupa Valley city, California",108314
"Sandy Springs city, Georgia",108846
"Gresham city, Oregon",109808
"Lewisville city, Texas",106938
"Hillsboro city, Oregon",108201
"San Buenaventura (Ventura) city, California",110731
"Greeley city, Colorado",107475
"Inglewood city, California",109038
"Waterbury city, Connecticut",108123
"League City city, Texas",106005
"Santa Maria city, California",107218
"Tyler city, Texas",105668
"Davie town, Florida",106131
"Daly City city, California",106869
"Boulder city, Colorado",106008
"Allen city, Texas",103577
"West Covina city, California",105964
"Sparks city, Nevada",103979
"Wichita Falls city, Texas",104356
"Green Bay city, Wisconsin",104833
"San Mateo city, California",104885
"Norwalk city, California",104798
"Rialto city, California",103232
"Las Cruces city, New Mexico",102812
"Chico city, California",94342
"El Cajon city, California",103041
"Burbank city, California",103349
"South Bend city, Indiana",101971
"Renton city, Washington",101787
"Vista city, California",100784
"Davenport city, Iowa",101918
"Edinburg city, Texas",98036
"Tuscaloosa city, Alabama",100190
"Carmel city, Indiana",99143
"Spokane Valley city, Washington",99308
"San Angelo city, Texas",100009
"Vacaville city, California",99949
"Bend city, Oregon",97620
"Kenosha city, Wisconsin",99908
"Boca Raton city, Florida",99351
"Lee's Summit city, Missouri",98522
"Nampa city, Idaho",96213
"Rio Rancho city, New Mexico",97982
"South Fulton city, Georgia",97278
"Roanoke city, Virginia",99009
"Beaverton city, Oregon",98775
"Yuma city, Arizona",97648
"Lawrence city, Kansas",97187
"Orem city, Utah",97430
"Longmont city, Colorado",96536
"San Marcos city, California",96480
"Albany city, New York",97011
"Sandy city, Utah",96737
"Concord city, North Carolina",94192
"Federal Way city, Washington",96726
"Hesperia city, California",95013
"Brockton city, Massachusetts",95723
"Compton city, California",96348
"Flint city, Michigan",95926
"Erie city, Pennsylvania",96298
"New Bedford city, Massachusetts",95371
"Fishers city, Indiana",93407
"Sunrise city, Florida",95219
"Roswell city, Georgia",94665
"Menifee city, California",92249
"Tracy city, California",91818
"Plantation city, Florida",94019
"Quincy city, Massachusetts",94403
