date,round,home_team,home_score,away_team,away_score,home_result
5/5/18,Round 1,Seattle Sounders FC,0,Columbus Crew,0,0
5/6/18,Round 1,Chicago Fire,1,Atlanta United,2,-1
5/6/18,Round 1,Houston Dynamo,3,L.A. Galaxy,2,1
5/6/18,Round 1,Sporting Kansas City,1,Colorado Rapids,0,1
5/6/18,Round 1,San Jose Earthquakes,0,Portland Timbers,1,-1
5/6/18,Round 1,Orlando City,,Real Salt Lake,,0
5/10/18,Round 1,Atlanta United,0,Sporting Kansas City,1,-1
5/10/18,Round 1,Columbus Crew,1,Philadelphia Union,0,1
5/10/18,Round 1,Toronto FC,1,Seattle Sounders FC,2,-1
5/10/18,Round 1,Chicago Fire,1,Montreal Impact,0,1
5/10/18,Round 1,Los Angeles FC,2,Minnesota United,0,2
5/12/18,Round 1,Vancouver Whitecaps,2,Houston Dynamo,2,0
5/12/18,Round 1,Minnesota United,1,San Jose Earthquakes,3,-2
5/12/18,Round 1,Montreal Impact,0,Philadelphia Union,2,-2
5/12/18,Round 1,FC Dallas,3,L.A. Galaxy,2,1
5/13/18,Round 1,New England Rev.,3,Toronto FC,2,1
5/13/18,Round 1,Columbus Crew,3,Chicago Fire,0,3
5/13/18,Round 1,Colorado Rapids,1,New York Red Bulls,2,-1
5/13/18,Round 1,Real Salt Lake,3,DC United,2,1
5/13/18,Round 1,Portland Timbers,1,Seattle Sounders FC,0,1
5/13/18,Round 1,Orlando City,1,Atlanta United,2,-1
5/14/18,Round 1,Los Angeles FC,2,New York City FC,2,0
5/17/18,Round 1,Vancouver Whitecaps,2,San Jose Earthquakes,2,0
5/19/18,Round 1,Toronto FC,2,Orlando City,1,1
5/19/18,Round 1,New York City FC,4,Colorado Rapids,0,4
5/19/18,Round 1,Portland Timbers,2,Los Angeles FC,1,1
5/19/18,Round 1,FC Dallas,2,Vancouver Whitecaps,2,0
5/20/18,Round 1,Philadelphia Union,4,Real Salt Lake,1,3
5/20/18,Round 1,New England Rev.,0,Columbus Crew,1,-1
5/20/18,Round 1,San Jose Earthquakes,1,DC United,3,-2
5/20/18,Round 1,Minnesota United,1,Sporting Kansas City,1,0
5/20/18,Round 1,Chicago Fire,2,Houston Dynamo,3,-1
5/21/18,Round 1,Atlanta United,1,New York Red Bulls,3,-2
5/21/18,Round 1,Montreal Impact,0,L.A. Galaxy,1,-1
5/26/18,Round 1,Toronto FC,0,FC Dallas,1,-1
5/26/18,Round 1,Houston Dynamo,3,New York City FC,1,2
5/26/18,Round 1,L.A. Galaxy,1,San Jose Earthquakes,0,1
5/26/18,Round 1,Seattle Sounders FC,0,Real Salt Lake,1,-1
5/26/18,Round 1,Vancouver Whitecaps,3,New England Rev.,3,0
5/27/18,Round 1,New York Red Bulls,0,Philadelphia Union,0,0
5/27/18,Round 1,Orlando City,1,Chicago Fire,2,-1
5/27/18,Round 1,Minnesota United,2,Montreal Impact,0,2
5/27/18,Round 1,Colorado Rapids,2,Portland Timbers,3,-1
5/27/18,Round 1,Sporting Kansas City,0,Columbus Crew,0,0
5/27/18,Round 1,Los Angeles FC,1,DC United,1,0
5/30/18,Round 1,Los Angeles FC,,DC United,,0
5/31/18,Round 1,Philadelphia Union,3,Chicago Fire,1,2
5/31/18,Round 1,New England Rev.,1,Atlanta United,1,0
5/31/18,Round 1,Real Salt Lake,2,Houston Dynamo,1,1
5/31/18,Round 1,L.A. Galaxy,2,FC Dallas,3,-1
6/2/18,Round 1,Colorado Rapids,1,Vancouver Whitecaps,2,-1
6/2/18,Round 1,Portland Timbers,1,L.A. Galaxy,1,0
6/3/18,Round 1,Chicago Fire,2,San Jose Earthquakes,1,1
6/3/18,Round 1,Atlanta United,3,Philadelphia Union,1,2
6/3/18,Round 1,Montreal Impact,1,Houston Dynamo,0,1
6/3/18,Round 1,New England Rev.,2,New York Red Bulls,1,1
6/3/18,Round 1,New York City FC,3,Orlando City,0,3
6/3/18,Round 1,Columbus Crew,3,Toronto FC,3,0
6/3/18,Round 1,FC Dallas,2,Los Angeles FC,1,1
6/3/18,Round 1,Real Salt Lake,2,Seattle Sounders FC,0,2
6/4/18,Round 1,Sporting Kansas City,4,Minnesota United,1,3
6/9/18,Round 1,Philadelphia Union,0,Toronto FC,2,-2
6/9/18,Round 1,New York City FC,1,Atlanta United,1,0
6/9/18,Round 1,Columbus Crew,1,New York Red Bulls,1,0
6/10/18,Round 1,Vancouver Whitecaps,5,Orlando City,2,3
6/10/18,Round 1,FC Dallas,2,Montreal Impact,0,2
6/10/18,Round 1,Chicago Fire,1,New England Rev.,1,0
6/10/18,Round 1,Houston Dynamo,2,Colorado Rapids,0,2
6/10/18,Round 1,Seattle Sounders FC,2,DC United,1,1
6/10/18,Round 1,Portland Timbers,0,Sporting Kansas City,0,0
6/10/18,Round 1,San Jose Earthquakes,3,Los Angeles FC,4,-1
6/10/18,Round 1,L.A. Galaxy,3,Real Salt Lake,0,3
6/14/18,Round 1,Columbus Crew,0,Atlanta United,2,-2
6/14/18,Round 1,Montreal Impact,3,Orlando City,0,3
6/14/18,Round 1,New York Red Bulls,2,Seattle Sounders FC,1,1
6/14/18,Round 1,Colorado Rapids,2,Chicago Fire,2,0
6/14/18,Round 1,San Jose Earthquakes,2,New England Rev.,2,0
6/14/18,Round 1,Toronto FC,4,DC United,4,0
6/23/18,Round 1,Philadelphia Union,4,Vancouver Whitecaps,0,4
6/23/18,Round 1,New York Red Bulls,3,FC Dallas,0,3
6/24/18,Round 1,Orlando City,0,Montreal Impact,2,-2
6/24/18,Round 1,Sporting Kansas City,3,Houston Dynamo,2,1
